PNA;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
83-204;AP Starogard Gdañski;Starogard Gdañski;Droga Nowowiejska;37;Starogard Gdañski;starogardzki;pomorskie
83-205;AP Starogard Gdañski;Starogard Gdañski;Boles³awa Prusa;21/a;Starogard Gdañski;starogardzki;pomorskie
83-204;AP Starogard Gdañski;Starogard Gdañski;Zblewska;9;Starogard Gdañski;starogardzki;pomorskie
83-200;UP Starogard Gdañski 1;Starogard Gdañski;gen. Józefa Hallera;17;Starogard Gdañski;starogardzki;pomorskie
83-240;FUP Starogard Gdañski 1;Lubichowo;Starogardzka;20 b;Lubichowo;starogardzki;pomorskie
83-250;FUP Starogard Gdañski 1;Skarszewy;Koœciuszki;9;Skarszewy;starogardzki;pomorskie
83-202;FUP Starogard Gdañski 1;Starogard Gdañski;Os. Miko³aja Kopernika;22 B;Starogard Gdañski;starogardzki;pomorskie
83-203;FUP Starogard Gdañski 1;Starogard Gdañski;Pomorska;7;Starogard Gdañski;starogardzki;pomorskie
83-201;FUP Starogard Gdañski 1;Starogard Gdañski;Zblewska;10 B;Starogard Gdañski;starogardzki;pomorskie
83-210;FUP Starogard Gdañski 1;Zblewo;Koœcierska;40;Zblewo;starogardzki;pomorskie
21-132;AP Staroœcin;Staroœcin;;17;Kamionka;lubartowski;lubelskie
09-440;UP StaroŸreby;StaroŸreby;Koœcielna;39;StaroŸreby;p³ocki;mazowieckie
78-460;AP Stary Chwalim;Stary Chwalim;;39;Barwice;szczecinecki;zachodniopomorskie
17-204;AP Stary Kornin;Stary Kornin;;72;Dubicze Cerkiewne;hajnowski;podlaskie
07-303;UP Stary Lubotyñ;Stary Lubotyñ;;42 A;Stary Lubotyñ;ostrowski;mazowieckie
33-340;UP Stary S¹cz;Stary S¹cz;Stefana Batorego;19;Stary S¹cz;nowos¹decki;ma³opolskie
33-386;FUP Stary S¹cz;Podegrodzie;;399;Podegrodzie;nowos¹decki;ma³opolskie
87-110;AP Stary Toruñ;Stary Toruñ;S³oneczna;8;Z³awieœ Wielka;toruñski;kujawsko-pomorskie
77-220;AP Starzno;Starzno;;4;Kocza³a;cz³uchowski;pomorskie
28-200;AP Staszów;Staszów;Konstytucji 3 Maja;6A;Staszów;staszowski;œwiêtokrzyskie
28-204;AP Staszów;Staszów;Krakowska;49;Staszów;staszowski;œwiêtokrzyskie
28-200;UP Staszów 1;Staszów;Kolejowa;1;Staszów;staszowski;œwiêtokrzyskie
28-211;FUP Staszów 1;Bogoria;Rynek;28;Bogoria;staszowski;œwiêtokrzyskie
28-236;FUP Staszów 1;Rytwiany;Armii Krajowej;8;Rytwiany;staszowski;œwiêtokrzyskie
28-203;FUP Staszów 1;Staszów;Jana Paw³a II;10;Staszów;staszowski;œwiêtokrzyskie
28-225;FUP Staszów 1;Szyd³ów;Szkolna;5;Szyd³ów;staszowski;œwiêtokrzyskie
18-520;UP Stawiski;Stawiski;£om¿yñska;21;Stawiski;kolneñski;podlaskie
18-520;FUP Stawiski;Grabowo;Plac 3 Maja;10;Grabowo;kolneñski;podlaskie
62-820;UP Stawiszyn;Stawiszyn;Zamkowa;1;Stawiszyn;kaliski;wielkopolskie
62-831;FUP Stawiszyn;Korzeniew;;112;Mycielin;kaliski;wielkopolskie
26-220;UP St¹porków;St¹porków;Marsza³ka Józefa Pi³sudskiego;137;St¹porków;konecki;œwiêtokrzyskie
26-221;AP St¹porków;St¹porków;1 Maja;25a;St¹porków;konecki;œwiêtokrzyskie
82-103;UP Stegna;Stegna;Gdañska;30;Stegna;nowodworski;pomorskie
82-103;FUP Stegna;Drewnica;Wiœlana;10;Stegna;nowodworski;pomorskie
82-120;FUP Stegna;Krynica Morska;Gdañska;81;Krynica Morska;nowodworski;pomorskie
82-110;FUP Stegna;Sztutowo;Szkolna;14;Sztutowo;nowodworski;pomorskie
16-081;AP Stelmachowo;Stelmachowo;;8;Tykocin;bia³ostocki;podlaskie
08-320;UP Sterdyñ;Sterdyñ;Wojska Polskiego;11;Sterdyñ;soko³owski;mazowieckie
14-111;AP Stêbark;Stêbark;;64A;Grunwald;ostródzki;warmiñsko-mazurskie
62-060;UP Stêszew;Stêszew;Poznañska;21;Stêszew;poznañski;wielkopolskie
83-322;UP Stê¿yca;Stê¿yca;Jana III Sobieskiego;2 ;Stê¿yca;kartuski;pomorskie
83-320;FUP Stê¿yca;Sulêczyno;Szydlicka;1;Sulêczyno;kartuski;pomorskie
07-104;UP Stoczek k. Ma³kini;Stoczek;Kolejowa;5A;Stoczek;wêgrowski;mazowieckie
21-450;UP Stoczek £ukowski;Stoczek £ukowski;Wyzwolenia;6;Stoczek £ukowski;³ukowski;lubelskie
21-450;FUP Stoczek £ukowski;Jedlanka;Ks. Wac³awa Leszkiewicza;2;Stoczek £ukowski;³ukowski;lubelskie
21-426;FUP Stoczek £ukowski;Wola Mys³owska;;57;Wola Mys³owska;³ukowski;lubelskie
86-212;UP Stolno;Stolno;;112;Stolno;che³miñski;kujawsko-pomorskie
28-130;UP Stopnica;Stopnica;Plac Józefa Pi³sudskiego;7;Stopnica;buski;œwiêtokrzyskie
57-213;AP Stoszowice;Stoszowice;;99;Stoszowice;z¹bkowicki;dolnoœl¹skie
76-220;AP Stowiêcino;Stowiêcino;;14/2;G³ówczyce;s³upski;pomorskie
19-420;AP Sto¿ne;Sto¿ne;;35;Kowale Oleckie;olecki;warmiñsko-mazurskie
26-067;UP Strawczyn;Strawczyn;Turystyczna;7;Strawczyn;kielecki;œwiêtokrzyskie
46-320;AP Strojec;Strojec;Czêstochowska;80;Praszka;oleski;opolskie
26-804;UP Stromiec;Stromiec;Piaski;4;Stromiec;bia³obrzeski;mazowieckie
23-206;AP Stró¿a;Stró¿a;Kraœnicka;98;Kraœnik;kraœnicki;lubelskie
43-246;UP Strumieñ;Strumieñ;Pocztowa;9;Strumieñ;cieszyñski;œl¹skie
62-060;AP Strykowo;Strykowo;Bukowska;34;Stêszew;poznañski;wielkopolskie
95-010;UP Stryków k. £odzi;Stryków;Stary Rynek;1;Stryków;zgierski;³ódzkie
95-011;FUP Stryków k. £odzi;Bratoszewice;Szkolna;10;Stryków;zgierski;³ódzkie
97-500;AP Strza³ków;Strza³ków;Reymonta;35;Radomsko;radomszczañski;³ódzkie
84-242;AP Strzebielino;Strzebielino;Leœna;12/1;£êczyce;wejherowski;pomorskie
42-286;AP Strzebiñ;Strzebiñ;Lubliniecka;15B;Koszêcin;lubliniecki;œl¹skie
39-223;AP Strzegocice;Strzegocice;;103A;Pilzno;dêbicki;podkarpackie
06-123;AP Strzegocin;Strzegocin;;82;Œwiercze;pu³tuski;mazowieckie
58-150;UP Strzegom;Strzegom;Tadeusza Koœciuszki;12;Strzegom;œwidnicki;dolnoœl¹skie
58-150;AP Strzegom;Strzegom;Aleja Wojska Polskiego;74;Strzegom;œwidnicki;dolnoœl¹skie
58-150;AP Strzegom;Strzegom;Kasztanowa;2;Strzegom;œwidnicki;dolnoœl¹skie
06-445;UP Strzegowo;Strzegowo;Wyzwolenia;25;Strzegowo;m³awski;mazowieckie
66-500;UP Strzelce Krajeñskie;Strzelce Krajeñskie;Gorzowska;1;Strzelce Krajeñskie;strzelecko-drezdenecki;lubuskie
66-542;FUP Strzelce Krajeñskie;Zwierzyn;Wojska Polskiego;20;Zwierzyn;strzelecko-drezdenecki;lubuskie
66-500;AP Strzelce Krajeñskie;Strzelce Krajeñskie;Juliusza S³owackiego;17;Strzelce Krajeñskie;strzelecko-drezdenecki;lubuskie
47-100;AP Strzelce Opolskie;Strzelce Opolskie;Ludowa;2D;Strzelce Opolskie;strzelecki;opolskie
47-100;UP Strzelce Opolskie 1;Strzelce Opolskie;Marka Prawego;18;Strzelce Opolskie;strzelecki;opolskie
47-180;FUP Strzelce Opolskie 1;Izbicko;Gogoliñska;6;Izbicko;strzelecki;opolskie
47-133;FUP Strzelce Opolskie 1;Jemielnica;Korfantego;8;Jemielnica;strzelecki;opolskie
47-100;FUP Strzelce Opolskie 1;Strzelce Opolskie;Kardyna³a Stefana Wyszyñskiego;16;Strzelce Opolskie;strzelecki;opolskie
98-337;UP Strzelce Wielkie k. Pajêczna;Strzelce Wielkie;Czêstochowska;14;Strzelce Wielkie;pajêczañski;³ódzkie
86-016;AP Strzelewo;Strzelewo;;27;Sicienko;bydgoski;kujawsko-pomorskie
72-204;AP Strzelewo Szczeciñskie;Strzelewo;;11;Nowogard;goleniowski;zachodniopomorskie
57-100;UP Strzelin;Strzelin;Pocztowa;11;Strzelin;strzeliñski;dolnoœl¹skie
57-100;FUP Strzelin;Borów;Wroc³awska;16;Borów;strzeliñski;dolnoœl¹skie
57-100;FUP Strzelin;Prusy;Pocztowa;27;Kondratowice;strzeliñski;dolnoœl¹skie
57-100;FUP Strzelin;Przeworno;Pocztowa;15;Przeworno;strzeliñski;dolnoœl¹skie
57-100;FUP Strzelin;Wi¹zów;Pocztowa;1;Wi¹zów;strzeliñski;dolnoœl¹skie
57-103;AP Strzelin;Strzelin;Grunwaldzka;7;Strzelin;strzeliñski;dolnoœl¹skie
57-104;AP Strzelin;Strzelin;œw. Jana;7;Strzelin;strzeliñski;dolnoœl¹skie
57-100;AP Strzelin;Strzelin;Staromiejska;21;Strzelin;strzeliñski;dolnoœl¹skie
57-102;AP Strzelin;Strzelin;Wolnoœci;7;Strzelin;strzeliñski;dolnoœl¹skie
88-320;UP Strzelno;Strzelno;œw. Ducha;32;Strzelno;mogileñski;kujawsko-pomorskie
88-320;FUP Strzelno;Markowice;;31;Strzelno;mogileñski;kujawsko-pomorskie
84-222;AP Strzepcz;Strzepcz;ks. Józefa Rotty;16;Linia;wejherowski;pomorskie
23-107;UP Strzy¿ewice;Strzy¿ewice;;109;Strzy¿ewice;lubelski;lubelskie
62-214;AP Strzy¿ewo Koœcielne;Strzy¿ewo Koœcielne;;123;Gniezno;gnieŸnieñski;wielkopolskie
42-575;UP Strzy¿owice k. Bêdzina;Strzy¿owice;Belna;1;Psary;bêdziñski;œl¹skie
38-100;UP Strzy¿ów n. Wis³okiem;Strzy¿ów;Parkowa;7;Strzy¿ów;strzy¿owski;podkarpackie
37-723;UP Stubno;Stubno;;69 A;Stubno;przemyski;podkarpackie
72-405;AP Stuchowo;Stuchowo;;65/3;Œwierzno;kamieñski;zachodniopomorskie
26-903;AP Studzianki Pancerne;Studzianki Pancerne;;7;G³owaczów;kozienicki;mazowieckie
43-215;AP Studzienice;Studzienice;Kosów;2;Pszczyna;pszczyñski;œl¹skie
21-498;AP Styrzyniec;Styrzyniec;S³oneczna;100;Bia³a Podlaska;bialski;lubelskie
34-200;UP Sucha Beskidzka;Sucha Beskidzka;Adama Mickiewicza;50;Sucha Beskidzka;suski;ma³opolskie
34-211;FUP Sucha Beskidzka;Budzów;;503;Budzów;suski;ma³opolskie
34-200;FUP Sucha Beskidzka;Krzeszów;;78;Stryszawa;suski;ma³opolskie
34-232;FUP Sucha Beskidzka;Lachowice;;181;Stryszawa;suski;ma³opolskie
34-220;FUP Sucha Beskidzka;Maków Podhalañski;Rynek;7;Maków Podhalañski;suski;ma³opolskie
34-200;FUP Sucha Beskidzka;Stryszawa;;736 A;Stryszawa;suski;ma³opolskie
34-210;FUP Sucha Beskidzka;Zembrzyce;Rynek;158;Zembrzyce;suski;ma³opolskie
59-102;AP Sucha Górna;Sucha Górna;Strumykowa;12;Polkowice;polkowicki;dolnoœl¹skie
26-130;UP Suchedniów;Suchedniów;Bugaj;1;Suchedniów;skar¿yski;œwiêtokrzyskie
26-140;FUP Suchedniów;Kamionki;;62;£¹czna;skar¿yski;œwiêtokrzyskie
78-542;AP Suchowo;Suchowo;;36;Kalisz Pomorski;drawski;zachodniopomorskie
16-150;UP Suchowola;Suchowola;Plac Koœciuszki;27;Suchowola;sokólski;podlaskie
16-130;FUP Suchowola;Janów;Sokólska;9;Janów;sokólski;podlaskie
16-150;FUP Suchowola;Korycin;Knyszyñska;2;Korycin;sokólski;podlaskie
08-125;UP Sucho¿ebry;Sucho¿ebry;Aleksandry Ogiñskiej;11;Sucho¿ebry;siedlecki;mazowieckie
62-002;UP Suchy Las;Suchy Las;pl. Nowy Rynek;3;Suchy Las;poznañski;wielkopolskie
62-003;FUP Suchy Las;Biedrusko;Parkowa;3;Suchy Las;poznañski;wielkopolskie
62-002;FUP Suchy Las;Chludowo;Obornicka;1;Suchy Las;poznañski;wielkopolskie
62-002;FUP Suchy Las;Z³otniki;Plac Grzybowy;14;Suchy Las;poznañski;wielkopolskie
27-407;AP Sudó³;Sudó³;;216 B;Bodzechów;ostrowiecki;œwiêtokrzyskie
32-856;AP Sufczyn;Sufczyn;;480;Dêbno;brzeski;ma³opolskie
66-100;AP Sulechów;Sulechów;os. Zacisze;13;Sulechów;zielonogórski;lubuskie
66-100;UP Sulechów 1;Sulechów;Aleja Wielkopolska;4;Sulechów;zielonogórski;lubuskie
66-101;FUP Sulechów 1;Sulechów;Mieszka I;4;Sulechów;zielonogórski;lubuskie
66-100;FUP Sulechów 1;Trzebiechów;Sulechowska;2;Trzebiechów;zielonogórski;lubuskie
97-330;UP Sulejów;Sulejów;Konecka;41;Sulejów;piotrkowski;³ódzkie
97-332;AP Sulejów;Sulejów;Piotrkowska;55a;Sulejów;piotrkowski;³ódzkie
05-072;AP Sulejówek;Sulejówek;Kombatantów II Wojny Œwiatowej;55;Sulejówek;miñski;mazowieckie
05-070;UP Sulejówek 1;Sulejówek;Pocztowa;4;Sulejówek;miñski;mazowieckie
05-071;UP Sulejówek 3;Sulejówek (Mi³osna);3 Maja;5;Sulejówek;miñski;mazowieckie
05-079;FUP Sulejówek 3;Okuniew;rynek Rynek;10;Halinów;miñski;mazowieckie
69-200;UP Sulêcin;Sulêcin;Jana Kiliñskiego;9;Sulêcin;sulêciñski;lubuskie
69-210;FUP Sulêcin;Lubniewice;Jana Paw³a II;30;Lubniewice;sulêciñski;lubuskie
69-211;FUP Sulêcin;Wêdrzyn;;1;Sulêcin;sulêciñski;lubuskie
69-201;AP Sulêcin;Sulêcin;Poznañska;13A;Sulêcin;sulêciñski;lubuskie
63-040;AP Sulêcinek;Sulêcinek;Klonowa;65;Krzykosy;œredzki;wielkopolskie
32-341;AP Sulis³awice;Sulis³awice;;129;Wolbrom;olkuski;ma³opolskie
27-670;AP Sulis³awice;Sulis³awice;;124a;£oniów;sandomierski;œwiêtokrzyskie
55-052;AP Sulistrowice;Sulistrowice;Jagielloñska;7;Sobótka;wroc³awski;dolnoœl¹skie
78-500;AP Suliszewo;Suliszewo;;78;Drawsko Pomorskie;drawski;zachodniopomorskie
98-338;UP Sulmierzyce k. Radomska;Sulmierzyce;Urzêdowa;1;Sulmierzyce;pajêczañski;³ódzkie
32-440;UP Su³kowice;Su³kowice;Zagumnie;70;Su³kowice;myœlenicki;ma³opolskie
32-045;UP Su³oszowa;Su³oszowa;Krakowska;139;Su³oszowa;krakowski;ma³opolskie
22-448;UP Su³ów;Su³ów;;143;Su³ów;zamojski;lubelskie
56-301;AP Su³ów;Su³ów;Milicka;23a/2;Milicz;milicki;dolnoœl¹skie
16-030;UP Supraœl;Supraœl;Cieliczañska;2;Supraœl;bia³ostocki;podlaskie
87-603;AP Suradówek;Suradówek;;25;Wielgie;lipnowski;kujawsko-pomorskie
18-520;AP Sura³y;Sura³y;;3;Grabowo;kolneñski;podlaskie
22-672;UP Susiec;Susiec;Tomaszowska;100;Susiec;tomaszowski;lubelskie
14-240;UP Susz;Susz;S³owiañska;24;Susz;i³awski;warmiñsko-mazurskie
16-400;UP Suwa³ki 1;Suwa³ki;Genera³a Kazimierza Pu³askiego;52;Suwa³ki;Suwa³ki;podlaskie
16-400;FUP Suwa³ki 1;Baka³arzewo;Filipowska;2;Baka³arzewo;suwalski;podlaskie
16-400;FUP Suwa³ki 1;Jeleniewo;Suwalska;49B;Jeleniewo;suwalski;podlaskie
16-427;FUP Suwa³ki 1;Przeroœl;Rynek;26;Przeroœl;suwalski;podlaskie
16-420;FUP Suwa³ki 1;Raczki;Plac Koœciuszki;36;Raczki;suwalski;podlaskie
16-400;FUP Suwa³ki 1;Suwa³ki;Genera³a Józefa Dwernickiego;15/206;Suwa³ki;Suwa³ki;podlaskie
16-431;FUP Suwa³ki 1;Suwa³ki;Klonowa;41A;Suwa³ki;Suwa³ki;podlaskie
16-400;FUP Suwa³ki 1;Suwa³ki;Teofila Noniewicza;10;Suwa³ki;Suwa³ki;podlaskie
16-430;FUP Suwa³ki 1;Suwa³ki;Pó³nocna;27a;Suwa³ki;Suwa³ki;podlaskie
16-400;FUP Suwa³ki 1;Suwa³ki;Ludwika Waryñskiego;24;Suwa³ki;Suwa³ki;podlaskie
16-400;FUP Suwa³ki 1;Suwa³ki;Ludwika Waryñskiego;45;Suwa³ki;Suwa³ki;podlaskie
16-401;UP Suwa³ki 3;Suwa³ki;Sejneñska;13;Suwa³ki;Suwa³ki;podlaskie
16-402;UP Suwa³ki 4;Suwa³ki;Tadeusza Koœciuszki;25;Suwa³ki;Suwa³ki;podlaskie
16-433;UP Suwa³ki 8;Suwa³ki;Ludwika Micha³a Paca;5G;Suwa³ki;Suwa³ki;podlaskie
62-017;UP Swarzêdz 1;Swarzêdz;Dworcowa;7;Swarzêdz;poznañski;wielkopolskie
63-005;FUP Swarzêdz 1;Kleszczewo;Poznañska;4 B;Kleszczewo;poznañski;wielkopolskie
62-016;FUP Swarzêdz 1;Swarzêdz;os. D¹browszczaków;25;Swarzêdz;poznañski;wielkopolskie
62-019;FUP Swarzêdz 1;Swarzêdz;Graniczna;63;Swarzêdz;poznañski;wielkopolskie
62-018;FUP Swarzêdz 1;skrytki/przegródki;;;Swarzêdz;poznañski;wielkopolskie
62-020;FUP Swarzêdz 1;Swarzêdz;Piaski;11;Swarzêdz;poznañski;wielkopolskie
09-303;AP Syberia;Syberia;;45;Lubowidz;¿uromiñski;mazowieckie
56-500;UP Syców;Syców;Adama Mickiewicza;8;Syców;oleœnicki;dolnoœl¹skie
56-505;FUP Syców;Dziadowa K³oda;1 Maja;10;Dziadowa K³oda;oleœnicki;dolnoœl¹skie
56-513;FUP Syców;Miêdzybórz;Rynek;4;Miêdzybórz;oleœnicki;dolnoœl¹skie
56-501;AP Syców;Syców;Parkowa;9E;Syców;oleœnicki;dolnoœl¹skie
64-915;AP Sypniewo;Sypniewo;Mickiewicza;57;Jastrowie;z³otowski;wielkopolskie
44-361;AP Syrynia;Syrynia;Powstañców Œl¹skich;49;Lubomia;wodzis³awski;œl¹skie
87-304;AP Szabda;Szabda;S¹dowa;39;Brodnica;brodnicki;kujawsko-pomorskie
38-331;AP Szalowa;Szalowa;;18;£u¿na;gorlicki;ma³opolskie
64-820;AP Szamocin;Szamocin;Rynek;20;Szamocin;chodzieski;wielkopolskie
64-500;UP Szamotu³y;Szamotu³y;Dworcowa;11;Szamotu³y;szamotulski;wielkopolskie
64-500;FUP Szamotu³y;KaŸmierz;Szamotulska;22 A;KaŸmierz;szamotulski;wielkopolskie
64-530;FUP Szamotu³y;skrytki/przegródki;;;KaŸmierz;szamotulski;wielkopolskie
64-520;FUP Szamotu³y;Obrzycko;pl. Lipowy;14;Obrzycko;szamotulski;wielkopolskie
64-500;FUP Szamotu³y;Ostroróg;Wroniecka;10;Ostroróg;szamotulski;wielkopolskie
64-500;FUP Szamotu³y;Szamotu³y;Sportowa;33A;Szamotu³y;szamotulski;wielkopolskie
64-500;AP Szamotu³y;Szamotu³y;Powstañców Wielkopolskich;17;Szamotu³y;szamotulski;wielkopolskie
21-404;AP Szaniawy-Matysy;Szaniawy-Matysy;;42;Trzebieszów;³ukowski;lubelskie
28-100;AP Szaniec;Szaniec;Floriañska;6;Busko-Zdrój;buski;œwiêtokrzyskie
23-225;UP Szastarka;Szastarka;;117;Szastarka;kraœnicki;lubelskie
33-371;AP Szczawnik;Szczawnik;;29 B;Muszyna;nowos¹decki;ma³opolskie
58-310;UP Szczawno-Zdrój;Szczawno-Zdrój;Kolejowa;9;Szczawno-Zdrój;wa³brzyski;dolnoœl¹skie
22-460;UP Szczebrzeszyn;Szczebrzeszyn;Zamojska;13;Szczebrzeszyn;zamojski;lubelskie
71-217;AP Szczecin;Szczecin;Górna;7a;Szczecin;Szczecin;zachodniopomorskie
70-241;AP Szczecin;Szczecin;Miko³aja Kopernika;3-5;Szczecin;Szczecin;zachodniopomorskie
71-073;AP Szczecin;Szczecin;Ku S³oñcu;25B;Szczecin;Szczecin;zachodniopomorskie
71-036;AP Szczecin;Szczecin;Leopolda Okulickiego;46;Szczecin;Szczecin;zachodniopomorskie
71-837;AP Szczecin;Szczecin;Policka;51;Szczecin;Szczecin;zachodniopomorskie
71-686;AP Szczecin;Szczecin;Przyjació³ ¯o³nierza;4/paw.34;Szczecin;Szczecin;zachodniopomorskie
70-405;UP Szczecin 1;Szczecin;Bogurodzicy;1;Szczecin;Szczecin;zachodniopomorskie
70-405;FUP Szczecin 1;Szczecin;al. Niepodleg³oœci;43;Szczecin;Szczecin;zachodniopomorskie
70-950;UP Szczecin 2;Szczecin;Dworcowa;20;Szczecin;Szczecin;zachodniopomorskie
70-950;FUP Szczecin 2;Szczecin;Krzysztofa Kolumba;1;Szczecin;Szczecin;zachodniopomorskie
70-950;FUP Szczecin 2;Szczecin;Milczañska;31 F;Szczecin;Szczecin;zachodniopomorskie
70-950;FUP Szczecin 2;Szczecin;Gabriela Narutowicza;13 E/6;Szczecin;Szczecin;zachodniopomorskie
70-950;FUP Szczecin 2;Szczecin;al. Wyzwolenia;44 A;Szczecin;Szczecin;zachodniopomorskie
70-358;UP Szczecin 3;Szczecin;Pocztowa;5;Szczecin;Szczecin;zachodniopomorskie
70-953;UP Szczecin 3;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
71-071;FUP Szczecin 3;Szczecin;al. Bohaterów Warszawy;40;Szczecin;Szczecin;zachodniopomorskie
70-334;UP Szczecin 4;Szczecin;al. Piastów;13;Szczecin;Szczecin;zachodniopomorskie
71-507;UP Szczecin 5;Szczecin;al. Wyzwolenia;70;Szczecin;Szczecin;zachodniopomorskie
70-965;UP Szczecin 5;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
71-545;FUP Szczecin 5;Szczecin;œw. Marcina;2;Szczecin;Szczecin;zachodniopomorskie
70-520;FUP Szczecin 5;Szczecin;Jana Matejki;22;Szczecin;Szczecin;zachodniopomorskie
70-520;FUP Szczecin 5;Szczecin;pl. Rod³a;8/716;Szczecin;Szczecin;zachodniopomorskie
71-141;UP Szczecin 6;Szczecin;Adama Mickiewicza;120;Szczecin;Szczecin;zachodniopomorskie
70-961;UP Szczecin 6;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
71-141;FUP Szczecin 6;Szczecin;Joachima Lelewela;8 A;Szczecin;Szczecin;zachodniopomorskie
71-141;FUP Szczecin 6;Szczecin;Waleriana £ukasiñskiego;38 C;Szczecin;Szczecin;zachodniopomorskie
71-217;FUP Szczecin 6;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
71-611;UP Szczecin 8;Szczecin;Stanis³awa Dubois;9;Szczecin;Szczecin;zachodniopomorskie
70-966;UP Szczecin 8;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
70-502;FUP Szczecin 8;Szczecin;Wa³y Chrobrego;4;Szczecin;Szczecin;zachodniopomorskie
71-022;UP Szczecin 10;Szczecin;Krakowska;19;Szczecin;Szczecin;zachodniopomorskie
72-001;FUP Szczecin 10;Ko³baskowo;;16;Ko³baskowo;policki;zachodniopomorskie
72-005;FUP Szczecin 10;Przec³aw;;58;Ko³baskowo;policki;zachodniopomorskie
71-004;FUP Szczecin 10;Szczecin;Eugeniusza Kwiatkowskiego;1/11;Szczecin;Szczecin;zachodniopomorskie
71-022;FUP Szczecin 10;Szczecin;Antoniego Ledóchowskiego;19;Szczecin;Szczecin;zachodniopomorskie
70-821;UP Szczecin 12;Szczecin;Emilii Gierczak;32;Szczecin;Szczecin;zachodniopomorskie
70-838;FUP Szczecin 12;Szczecin;Goleniowska;27;Szczecin;Szczecin;zachodniopomorskie
70-896;FUP Szczecin 12;Szczecin;os. Kasztanowe;4/c;Szczecin;Szczecin;zachodniopomorskie
70-765;UP Szczecin 18;Szczecin;Batalionów Ch³opskich;79;Szczecin;Szczecin;zachodniopomorskie
70-772;FUP Szczecin 18;Szczecin;Andre Citroena;2;Szczecin;Szczecin;zachodniopomorskie
70-745;FUP Szczecin 18;Szczecin;Metalowa;30;Szczecin;Szczecin;zachodniopomorskie
70-788;FUP Szczecin 18;Szczecin;Seledynowa;20;Szczecin;Szczecin;zachodniopomorskie
71-047;UP Szczecin 26;Szczecin;Hrubieszowska;56;Szczecin;Szczecin;zachodniopomorskie
71-044;UP Szczecin 26;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
71-688;UP Szczecin 27;Szczecin;Obotrycka;6;Szczecin;Szczecin;zachodniopomorskie
71-831;FUP Szczecin 27;Szczecin;Ogrodnicza;90;Szczecin;Szczecin;zachodniopomorskie
71-787;FUP Szczecin 27;Szczecin;Rostocka;111;Szczecin;Szczecin;zachodniopomorskie
71-831;FUP Szczecin 27;Szczecin;Sto³czyñska;149;Szczecin;Szczecin;zachodniopomorskie
71-611;FUP Szczecin 27;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
71-730;FUP Szczecin 27;Szczecin;Strza³owska;46;Szczecin;Szczecin;zachodniopomorskie
71-830;FUP Szczecin 27;Szczecin;Zamkniêta;2;Szczecin;Szczecin;zachodniopomorskie
70-428;UP Szczecin 30;Szczecin;pl. Grunwaldzki;1/2;Szczecin;Szczecin;zachodniopomorskie
71-661;UP Szczecin 33;Szczecin;Komuny Paryskiej;40/U4;Szczecin;Szczecin;zachodniopomorskie
70-474;UP Szczecin 34;Szczecin;al. Wojska Polskiego;35;Szczecin;Szczecin;zachodniopomorskie
71-119;UP Szczecin 35;Szczecin;Jod³owa;23 C;Szczecin;Szczecin;zachodniopomorskie
71-119;FUP Szczecin 35;Szczecin;Stanis³awa Ignacego Witkiewicza;49/U-5;Szczecin;Szczecin;zachodniopomorskie
70-137;UP Szczecin 37;Szczecin;Milczañska;51 A;Szczecin;Szczecin;zachodniopomorskie
70-100;FUP Szczecin 37;Szczecin;Powstañców Œl¹skich;2/U4;Szczecin;Szczecin;zachodniopomorskie
70-018;FUP Szczecin 37;Szczecin;W³oœciañska;1;Szczecin;Szczecin;zachodniopomorskie
70-779;UP Szczecin 39;Szczecin;£ubinowa;16;Szczecin;Szczecin;zachodniopomorskie
70-779;FUP Szczecin 39;Szczecin;Ba³tycka;38;Szczecin;Szczecin;zachodniopomorskie
70-799;FUP Szczecin 39;Szczecin;Jaros³awa Iwaszkiewicza;86 B;Szczecin;Szczecin;zachodniopomorskie
70-777;FUP Szczecin 39;Szczecin;Jasna;72U;Szczecin;Szczecin;zachodniopomorskie
70-793;FUP Szczecin 39;Szczecin;NiedŸwiedzia;16/U3;Szczecin;Szczecin;zachodniopomorskie
70-779;FUP Szczecin 39;Szczecin;Przysz³oœci;30;Szczecin;Szczecin;zachodniopomorskie
70-894;FUP Szczecin 39;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
70-779;FUP Szczecin 39;Szczecin;Swojska;4;Szczecin;Szczecin;zachodniopomorskie
71-449;UP Szczecin 41;Szczecin;Fryderyka Chopina;26;Szczecin;Szczecin;zachodniopomorskie
71-449;FUP Szczecin 41;Szczecin;ks. Jana Dzier¿onia;51;Szczecin;Szczecin;zachodniopomorskie
71-449;FUP Szczecin 41;Szczecin;£ucznicza;56b;Szczecin;Szczecin;zachodniopomorskie
