PNA;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
78-452;AP Bia³ow¹s;Bia³ow¹s;;4;Barwice;szczecinecki;zachodniopomorskie
15-762;AP Bia³ystok;Bia³ystok;Antoniuk Fabryczny;55/4;Bia³ystok;Bia³ystok;podlaskie
15-705;AP Bia³ystok;Bia³ystok;Zwyciêstwa;10A;Bia³ystok;Bia³ystok;podlaskie
15-001;UP Bia³ystok 1;Bia³ystok;Warszawska;10;Bia³ystok;Bia³ystok;podlaskie
15-950;UP Bia³ystok 1;skrytki/przegródki;;;Bia³ystok;Bia³ystok;podlaskie
15-001;FUP Bia³ystok 1;Bia³ystok;Jana Kiliñskiego;1;Bia³ystok;Bia³ystok;podlaskie
15-026;FUP Bia³ystok 1;Bia³ystok;S³onimska;1;Bia³ystok;Bia³ystok;podlaskie
15-219;FUP Bia³ystok 1;Bia³ystok;Œwiêtojañska;13;Bia³ystok;Bia³ystok;podlaskie
15-644;FUP Bia³ystok 1;Bia³ystok;Wroc³awska;20/32A;Bia³ystok;Bia³ystok;podlaskie
15-900;UP Bia³ystok 2;Bia³ystok;Kolejowa;15;Bia³ystok;Bia³ystok;podlaskie
15-959;UP Bia³ystok 2;skrytki/przegródki;;;Bia³ystok;Bia³ystok;podlaskie
15-900;FUP Bia³ystok 2;Dobrzyniewo Du¿e;Bia³ostocka;12;Dobrzyniewo Du¿e;bia³ostocki;podlaskie
15-214;UP Bia³ystok 3;Bia³ystok;Adama Mickiewicza;17;Bia³ystok;Bia³ystok;podlaskie
15-566;FUP Bia³ystok 3;Bia³ystok;Dojlidy Fabryczne;24;Bia³ystok;Bia³ystok;podlaskie
15-530;FUP Bia³ystok 3;Bia³ystok;Sowlañska;33;Bia³ystok;Bia³ystok;podlaskie
15-571;FUP Bia³ystok 3;Bia³ystok;Stoczni Gdañskiej;76;Bia³ystok;Bia³ystok;podlaskie
15-428;UP Bia³ystok 4;Bia³ystok;Lipowa;32;Bia³ystok;Bia³ystok;podlaskie
15-447;FUP Bia³ystok 4;Bia³ystok;Aleja Józefa Pi³sudskiego;26;Bia³ystok;Bia³ystok;podlaskie
15-344;UP Bia³ystok 6;Bia³ystok;Stanis³awa Dubois;5;Bia³ystok;Bia³ystok;podlaskie
15-050;UP Bia³ystok 8;Bia³ystok;Mieszka I;14/7;Bia³ystok;Bia³ystok;podlaskie
15-182;FUP Bia³ystok 8;Bia³ystok;42 Pu³ku Piechoty;127/U1;Bia³ystok;Bia³ystok;podlaskie
