PNA;NAZWA JEDNOSTKI ORGANIZACYJNEJ;MIEJSCOWOå∆;ULICA;NR;GMINA;POWIAT;WOJEW”DZTWO
59-220;Wydzia≥ Terenowy Transportu Legnica;Legnica;PoznaÒska;50;Legnica;Legnica;dolnoúlπskie
50-900;Wydzia≥ Terenowy Transportu Wroc≥aw;Wroc≥aw;Ibn Siny Awicenny;21;Wroc≥aw;Wroc≥aw;dolnoúlπskie
50-900;Wydzia≥ Ekspedycyjno-Rozdzielczy we Wroc≥awiu;Wroc≥aw;Ibn Siny Awicenny;21;Wroc≥aw;Wroc≥aw;dolnoúlπskie
15-100;Region Sieci Bia≥ystok;Bia≥ystok;Bitwy Bia≥ostockiej;8 A;Bia≥ystok;Bia≥ystok;podlaskie
85-001;Region Sieci Bydgoszcz;Bydgoszcz;JagielloÒska;6;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
80-940;Region Sieci GdaÒsk;GdaÒsk;Targ Rakowy;7/8;GdaÒsk;GdaÒsk;pomorskie
66-400;Region Sieci GorzÛw Wielkopolski;GorzÛw Wielkopolski;Kazimierza JagielloÒczyka;4;GorzÛw Wielkopolski;GorzÛw Wielkopolski;lubuskie
40-940;Region Sieci Katowice;Katowice;Plac Oddzia≥Ûw M≥odzieøy PowstaÒczej;7;Katowice;Katowice;úlπskie
25-001;Region Sieci Kielce;Kielce;pl. Niepodleg≥oúci;2;Kielce;Kielce;úwiÍtokrzyskie
30-940;Region Sieci KrakÛw;KrakÛw;Grochowska;2;KrakÛw;KrakÛw;ma≥opolskie
20-001;Region Sieci Lublin;Lublin;Krakowskie Przedmieúcie;50;Lublin;Lublin;lubelskie
90-001;Region Sieci £Ûdü;£Ûdü;Juliana Tuwima;38;£Ûdü;£Ûdü;≥Ûdzkie
10-001;Region Sieci Olsztyn;Olsztyn;Seweryna PieniÍønego;21;Olsztyn;Olsztyn;warmiÒsko-mazurskie
45-076;Region Sieci Opole;Opole;Krakowska;46;Opole;Opole;opolskie
60-942;Region Sieci PoznaÒ;PoznaÒ;Tadeusza Koúciuszki;77;PoznaÒ;PoznaÒ;wielkopolskie
35-959;Region Sieci RzeszÛw;RzeszÛw;Adama Asnyka;9;RzeszÛw;RzeszÛw;podkarpackie
70-405;Region Sieci Szczecin;Szczecin;al. Niepodleg≥oúci;41/42;Szczecin;Szczecin;zachodniopomorskie
03-700;Region Sieci Warszawa-Miasto;Warszawa;Targowa;73;Warszawa;Warszawa;mazowieckie
00-965;Region Sieci Warszawa-WojewÛdztwo;Warszawa;Towarowa;5;Warszawa;Warszawa;mazowieckie
50-945;Region Sieci Wroc≥aw;Wroc≥aw;Zygmunta KrasiÒskiego;1;Wroc≥aw;Wroc≥aw;dolnoúlπskie
85-940;Centrum Obs≥ugi Finansowej Bydgoszcz;Bydgoszcz;BernardyÒska;15;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
41-902;Centrum Obs≥ugi Finansowej Bytom;Bytom;Karola Miarki;4;Bytom;Bytom;úlπskie
00-935;Centrum Skanowania PPUC skr. poczt. 100-999;Warszawa;Rodziny HiszpaÒskich;8;Warszawa;Warszawa;mazowieckie
95-042;Dzia≥ Obs≥ugi Posprzedaøowej;Koluszki;Kolejowa;4;Koluszki;≥Ûdzki wschodni;≥Ûdzkie
